"","participant_id","sentence_type","answer","congruency","gender_german","gender_russian","target_noun","target_noun_translation","stimulus_sentence","correctness","mismatch_type","sentence_id","gender","age","proficiency","lextale_score","age_of_acquisition","language_use","language_environment","acquisition_vs_learning","judgement","is_judgement_correct"
"1","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","f","f","Treppe","лестница","Das Treppe knarrt laut.","incorrect","f>n",8,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"2","93ef61beff38bf8846010b5d1f0d5420","stimuli","Нет","noncongruent","m","f","Arm","рука","Diese Arm tut weh.","incorrect","m>f",21,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"3","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","n","n","Meer","море","Das Meer plätschert ruhig.","correct",NA,5,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"4","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","n","n","Knie","колено","Das Knie tut weh.","correct",NA,6,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"5","93ef61beff38bf8846010b5d1f0d5420","stimuli","Нет","congruent","m","m","Wind","ветер","Die Wind weht stark.","incorrect","m>f",9,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"6","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","f","m","Blume","цветок","Die Blume duftet wunderbar.","correct",NA,13,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"7","93ef61beff38bf8846010b5d1f0d5420","stimuli","Нет","noncongruent","f","n","Zeit","время","Das Zeit ist wertvoll.","incorrect","f>n",20,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"8","93ef61beff38bf8846010b5d1f0d5420","stimuli","Нет","congruent","n","n","Wort","слово","Die Wort klingt ungewohnt.","incorrect","n>f",11,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"9","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","n","m","Jahr","год","Dieses Jahr vergeht schnell.","correct",NA,18,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"10","93ef61beff38bf8846010b5d1f0d5420","stimuli","NULL","noncongruent","f","m","Stimme","голос","Der Stimme klingt traurig.","incorrect","f>m",19,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","not given","not given"
"11","93ef61beff38bf8846010b5d1f0d5420","stimuli","Нет","congruent","m","m","Weg","путь","Dieses Weg führt nirgendwohin.","incorrect","m>n",10,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"12","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","m","f","Fuß","нога","Der Fuß schmerzt stark.","correct",NA,15,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"13","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","n","f","Leben","жизнь","Die Leben geht weiter.","incorrect","n>f",23,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"14","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","n","m","Schiff","корабль","Dieser Schiff sinkt langsam.","incorrect","n>m",24,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"15","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","f","f","Kerze","свеча","Diese Kerze brennt langsam.","correct",NA,1,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"16","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","m","m","Stein","камень","Dieser Stein ist selten.","correct",NA,3,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"17","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","f","f","Welle","волна","Der Welle plätschert leise.","incorrect","f>m",7,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"18","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","m","m","Tag","день","Dieser Tag ist sonnig.","correct",NA,4,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"19","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","f","f","Tasse","чашка","Die Tasse ist gesprungen.","correct",NA,2,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"20","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","congruent","n","n","Herz","сердце","Der Herz klopft unruhig.","incorrect","n>m",12,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"21","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","n","f","Bett","кровать","Dieses Bett ist weich.","correct",NA,17,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"22","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","m","n","See","озеро","Dieser See ist sauber.","correct",NA,16,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"23","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","f","n","Wolke","облако","Die Wolke hängt tief.","correct",NA,14,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
"24","93ef61beff38bf8846010b5d1f0d5420","stimuli","Да","noncongruent","m","n","Baum","дерево","Dieses Baum wächst schnell.","incorrect","m>n",22,"Женский","21","C1","61.25","11","0","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"25","03fa4b312235ea95fa7100910aa20aa8","stimuli","Нет","congruent","n","n","Herz","сердце","Der Herz klopft unruhig.","incorrect","n>m",12,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","correctly rejected","correct"
"26","03fa4b312235ea95fa7100910aa20aa8","stimuli","NULL","noncongruent","n","f","Leben","жизнь","Die Leben geht weiter.","incorrect","n>f",23,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","not given","not given"
"27","03fa4b312235ea95fa7100910aa20aa8","stimuli","Да","noncongruent","f","m","Stimme","голос","Der Stimme klingt traurig.","incorrect","f>m",19,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"28","03fa4b312235ea95fa7100910aa20aa8","stimuli","Да","noncongruent","m","n","Baum","дерево","Dieses Baum wächst schnell.","incorrect","m>n",22,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","incorrectly accepted","incorrect"
"29","03fa4b312235ea95fa7100910aa20aa8","stimuli","Нет","noncongruent","f","n","Wolke","облако","Die Wolke hängt tief.","correct",NA,14,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","incorrectly rejected","incorrect"
"30","03fa4b312235ea95fa7100910aa20aa8","stimuli","Да","congruent","f","f","Tasse","чашка","Die Tasse ist gesprungen.","correct",NA,2,"Женский","20","B1","62.5","13","10%","Нет","Уроки в общеобразовательной школе","correctly accepted","correct"
